,model,Ratio,Replace,dataset,Accuracy,F1 Prefix,F1 random,Recall Prefix,Recall random,Precision Prefix,Precision random,Train Loss 0,Train Loss 1,Train Loss 2,Train Loss 3,Train Loss 4,Train Loss 5,Train Loss 6,Train Loss 7,Train Loss 8,Train Loss 9,Train Loss 10,Train Loss 11,Train Loss 12,Train Loss 13,Train Loss 14,Train Loss 15,Train Loss 16,Train Loss 17,Train Loss 18,Train Loss 19,Train Loss 20,Train Loss 21,Train Loss 22,Train Loss 23,Train Loss 24,Train Loss 25,Train Loss 26,Train Loss 27,Train Loss 28,Train Loss 29,Val Loss 0,Val Loss 1,Val Loss 2,Val Loss 3,Val Loss 4,Val Loss 5,Val Loss 6,Val Loss 7,Val Loss 8,Val Loss 9,Val Loss 10,Val Loss 11,Val Loss 12,Val Loss 13,Val Loss 14,Val Loss 15,Val Loss 16,Val Loss 17,Val Loss 18,Val Loss 19,Val Loss 20,Val Loss 21,Val Loss 22,Val Loss 23,Val Loss 24,Val Loss 25,Val Loss 26,Val Loss 27,Val Loss 28,Val Loss 29,Accuracy 0,Accuracy 1,Accuracy 2,Accuracy 3,Accuracy 4,Accuracy 5,Accuracy 6,Accuracy 7,Accuracy 8,Accuracy 9,Accuracy 10,Accuracy 11,Accuracy 12,Accuracy 13,Accuracy 14,Accuracy 15,Accuracy 16,Accuracy 17,Accuracy 18,Accuracy 19,Accuracy 20,Accuracy 21,Accuracy 22,Accuracy 23,Accuracy 24,Accuracy 25,Accuracy 26,Accuracy 27,Accuracy 28,Accuracy 29
0,euclidean,0.25,0.5,10,0.7,0.8146341463414635,0.2111111111111111,0.733201581027668,0.41666666666666663,0.9166666666666666,0.1428571428571428,0.6092538610100746,0.5700753380854924,0.5650708725055058,0.5666847204168637,0.5549597541491191,0.5507072359323502,0.5569402029116949,0.5481991345683734,0.5440287888050079,0.545776608089606,0.5411568557222683,0.5379038328925769,0.5300939753651619,0.5248070061206818,0.5273683046301205,0.519982802371184,0.5173044204711914,0.5092785308758417,0.5100780477126439,0.5037198389569919,0.4994620581467946,0.5008451094230015,0.4943177302678426,0.4921907981236775,0.4975912421941757,0.48843068629503245,0.4845497136314709,0.4801247616608938,0.47195613135894143,0.46623480816682183,0.5354562401771545,0.4948408454656601,0.4781510829925537,0.47489845752716064,0.47904887795448303,0.48421601951122284,0.49075745046138763,0.49151021242141724,0.48596519231796265,0.48281262814998627,0.4836070090532303,0.4844773560762405,0.4860159903764725,0.48484793305397034,0.4833216220140457,0.47943221032619476,0.4770387858152389,0.479752853512764,0.4797871857881546,0.480144590139389,0.4772751033306122,0.4747608006000519,0.4773024320602417,0.478965699672699,0.47787055373191833,0.4764240086078644,0.48063333332538605,0.4793551564216614,0.47616878151893616,0.47753429412841797,0.7,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.72,0.72,0.72,0.72,0.72,0.71,0.72,0.72,0.73,0.72,0.71,0.71,0.7
1,euclidean,0.5,0.5,10,0.42000000000000004,0.4825711544611449,0.3347171769590036,0.3988666085440279,0.4554655870445344,0.6136363636363636,0.2678571428571428,0.7369029670953751,0.7188127885262171,0.7089690069357554,0.6935988962650299,0.6909774343172709,0.6839290261268616,0.6802269121011097,0.6700648417075474,0.6657607108354568,0.6600388735532761,0.6536163290341696,0.6544392257928848,0.6456028372049332,0.6406618704398472,0.6377373486757278,0.6310378809769948,0.6289927164713542,0.6263188322385151,0.6278026252985001,0.6187005788087845,0.6183417787154516,0.6182402074337006,0.6130180557568867,0.6084911922613779,0.6042644431193669,0.6022413969039917,0.5964705993731816,0.5924375106890996,0.5922334790229797,0.5904392749071121,0.7947727143764496,0.7918700277805328,0.7814891040325165,0.7669200599193573,0.761833667755127,0.765259861946106,0.7647347450256348,0.7580300569534302,0.7523141801357269,0.7532899677753448,0.7538819313049316,0.7564838826656342,0.7519029378890991,0.7499733865261078,0.7506860494613647,0.7481572031974792,0.7444908022880554,0.7429553270339966,0.7478034198284149,0.7499319911003113,0.7485483884811401,0.7538617551326752,0.7495966851711273,0.7484795451164246,0.7526502907276154,0.7577983736991882,0.7608837187290192,0.7571447193622589,0.7630587518215179,0.7664588391780853,0.46,0.45,0.44,0.41000000000000003,0.42000000000000004,0.44,0.44,0.4,0.41000000000000003,0.41000000000000003,0.4,0.42,0.42,0.39,0.39,0.37,0.42000000000000004,0.42000000000000004,0.38,0.39,0.41000000000000003,0.41000000000000003,0.39,0.41000000000000003,0.41000000000000003,0.42,0.41000000000000003,0.43000000000000005,0.41000000000000003,0.42000000000000004
2,euclidean,0.75,0.5,10,0.81,0.0,0.8949938949938951,0.5,0.8181632653061224,0.0,0.9878048780487805,0.8720727413892746,0.6023008674383163,0.5725029359261196,0.5499923080205917,0.5385938088099161,0.5441882883509,0.527382455766201,0.5285629803935687,0.5080550735195478,0.5115495125452678,0.5118293141325314,0.49941815187533695,0.4954887926578522,0.4837024100124836,0.48950023452440894,0.49092523753643036,0.48846248537302017,0.48256879299879074,0.4698395406206448,0.47585512697696686,0.48208344231049216,0.46099369724591577,0.4644395634531975,0.45562565326690674,0.4631540526946385,0.45108464608589804,0.4613502621650696,0.45447276035944617,0.4472912376125654,0.44983530789613724,0.7471170723438263,0.6951600611209869,0.7015961408615112,0.6910578310489655,0.676568329334259,0.6649153232574463,0.654748260974884,0.6471159756183624,0.6416895091533661,0.6396590173244476,0.6369169652462006,0.63203564286232,0.6312667429447174,0.6305874586105347,0.6284694075584412,0.628099113702774,0.6261475384235382,0.6231827437877655,0.6225145757198334,0.6238635182380676,0.6247892677783966,0.619910717010498,0.6193526983261108,0.6217939257621765,0.6250291168689728,0.619807094335556,0.618696391582489,0.6148786246776581,0.6203789710998535,0.6212853193283081,0.66,0.77,0.8,0.82,0.81,0.81,0.81,0.81,0.8,0.8,0.8,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.8,0.8200000000000001,0.81,0.81,0.81,0.81,0.81,0.81,0.81
3,euclidean,0.25,0.5,20,0.8300000000000001,0.9068100358422939,0.0,0.855531914893617,0.5,0.9651162790697674,0.0,0.9800662746032078,0.7638983428478241,0.6783134788274765,0.6501127382119496,0.6504899958769481,0.6319372206926346,0.6191705763339996,0.6044785057504971,0.6027343521515529,0.5979647214214008,0.5833975623051326,0.5760831957062085,0.5730351706345876,0.5612271328767141,0.5668081268668175,0.5593472967545192,0.5645842899878819,0.559436745941639,0.5470169385274251,0.539044554034869,0.5474028835693996,0.5455574144919714,0.5439335157473881,0.544618271291256,0.5317532271146774,0.5272852207223575,0.5169003109137218,0.5161842107772827,0.518747406701247,0.5189259896675745,0.6195095181465149,0.5126310437917709,0.5152990520000458,0.542425811290741,0.5348672568798065,0.5260606855154037,0.5217386037111282,0.5258118957281113,0.5299233496189117,0.534695029258728,0.5471843183040619,0.5503871440887451,0.5514260232448578,0.5553133487701416,0.5597555339336395,0.5620213747024536,0.5628315508365631,0.563271164894104,0.5650775134563446,0.56453537940979,0.5620151460170746,0.5596796572208405,0.5635722577571869,0.5645073056221008,0.5657989680767059,0.5631982088088989,0.5608728528022766,0.5610471963882446,0.5632985532283783,0.5572461783885956,0.85,0.85,0.81,0.75,0.76,0.81,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8200000000000001,0.8,0.81,0.8300000000000001,0.8300000000000001,0.85,0.85,0.86,0.86,0.84,0.83,0.84,0.84,0.84,0.84,0.84,0.83,0.84,0.8300000000000001,0.8300000000000001,0.8300000000000001
4,euclidean,0.5,0.5,20,0.45999999999999996,0.4792592592592593,0.437391304347826,0.44487179487179485,0.47916666666666663,0.5208333333333334,0.40384615384615385,1.0105612377325695,0.7862274100383123,0.7689472734928131,0.7718982597192128,0.746665691335996,0.7274586608012517,0.7198489159345627,0.7181840042273203,0.7069100638230641,0.6960353801647823,0.6952559848626455,0.683835690220197,0.6812377621730168,0.6728743563095729,0.6693001389503479,0.6722230563561121,0.661678691705068,0.6568198253711064,0.6623711436986923,0.6515795886516571,0.6472630004088084,0.6441181898117065,0.6371493836243948,0.6378844678401947,0.6334961503744125,0.6310047010580698,0.6279537429412205,0.625001276532809,0.6200126608212788,0.6194843252499898,0.803403377532959,0.8452950716018677,0.9012186527252197,0.876562774181366,0.8283890783786774,0.7948263883590698,0.7847277224063873,0.7846796810626984,0.7882532477378845,0.782617449760437,0.7793134152889252,0.7810255289077759,0.7784866094589233,0.7701398134231567,0.7669835984706879,0.7668325006961823,0.7684119641780853,0.775881290435791,0.7741841673851013,0.7686553299427032,0.7601071298122406,0.765146017074585,0.7730736136436462,0.771525114774704,0.7697239220142365,0.7675217986106873,0.7714671790599823,0.7721447646617889,0.7740676701068878,0.7707390785217285,0.51,0.47,0.5,0.48,0.46,0.48,0.49,0.49,0.47,0.48,0.47,0.48,0.47,0.48,0.46,0.47,0.48,0.45999999999999996,0.47,0.48,0.49,0.44999999999999996,0.45999999999999996,0.47,0.47,0.47,0.45999999999999996,0.45,0.49,0.45999999999999996
5,euclidean,0.75,0.5,20,0.78,0.1538461538461538,0.8735632183908046,0.2,0.8444444444444444,0.125,0.9047619047619048,0.6776826679706573,0.6637972320119541,0.6414528538783392,0.6225004643201828,0.6072405949234962,0.6052396049102148,0.5836779326200485,0.5746477618813515,0.5623873099684715,0.5656505475441616,0.5585548082987468,0.54783134162426,0.5410419056812922,0.5345613807439804,0.5164714107910792,0.5272477964560192,0.5211399222413698,0.505914606153965,0.5040104587872822,0.5002930462360382,0.4975273932019869,0.48488623897234595,0.49120791504780453,0.47641275326410926,0.4740665753682455,0.4738339657584826,0.46393807480732596,0.45701794823010766,0.45075407624244684,0.45523278166850406,0.5827025175094604,0.5765918791294098,0.5804660022258759,0.5680641531944275,0.5630097091197968,0.5569682717323303,0.5610390305519104,0.5616733729839325,0.5582506954669952,0.558403342962265,0.5665270984172821,0.5674122273921967,0.55682572722435,0.552014946937561,0.5597837269306183,0.5629869103431702,0.5524570941925049,0.5488823056221008,0.550629198551178,0.5540796220302582,0.5502097606658936,0.5506114959716797,0.5465950071811676,0.554841935634613,0.5476043522357941,0.5503658652305603,0.5519888997077942,0.5522987842559814,0.5502504110336304,0.5433455109596252,0.8,0.81,0.8,0.8,0.81,0.82,0.82,0.82,0.81,0.81,0.79,0.79,0.8,0.8,0.79,0.78,0.79,0.79,0.79,0.78,0.78,0.79,0.79,0.76,0.76,0.77,0.78,0.78,0.78,0.78
6,euclidean,0.25,0.5,30,0.65,0.7771103896103896,0.18043478260869567,0.670696324951644,0.41666666666666663,0.9242424242424243,0.1176470588235294,0.7762481570243835,0.7146571477254231,0.7119078586498897,0.6824264898896217,0.6609308620293934,0.631193573276202,0.6129693885644277,0.6188850651184719,0.608678403000037,0.602947436273098,0.579350618024667,0.5725309178233147,0.5623589158058167,0.5568421830733616,0.5416077747941017,0.5375949864586194,0.5324404189984004,0.5280908644199371,0.5202009653051695,0.5095079764723778,0.5062388504544895,0.5036859114964803,0.4985950614015261,0.49414590994517005,0.49154917150735855,0.49437790612379706,0.4837992712855339,0.4756860683361689,0.48250018060207367,0.46802318592866266,0.7950319051742554,0.8050752282142639,0.7708052098751068,0.724667102098465,0.7066959142684937,0.7052806913852692,0.7003500163555145,0.708176463842392,0.701988011598587,0.6906448602676392,0.6827257573604584,0.6872247755527496,0.6819052696228027,0.677130788564682,0.6726659536361694,0.6783054172992706,0.6785448789596558,0.6730547249317169,0.6705773174762726,0.6690525710582733,0.665885716676712,0.669238269329071,0.6669528186321259,0.6699440479278564,0.667328804731369,0.6603269577026367,0.6610590815544128,0.6648798882961273,0.6733982563018799,0.6662159264087677,0.64,0.63,0.62,0.6499999999999999,0.6499999999999999,0.6499999999999999,0.6499999999999999,0.62,0.62,0.65,0.65,0.64,0.63,0.64,0.64,0.62,0.62,0.62,0.63,0.64,0.64,0.62,0.63,0.63,0.65,0.65,0.65,0.65,0.62,0.65
7,euclidean,0.5,0.5,30,0.54,0.5407466880770775,0.5359293456443196,0.5239880059970015,0.5582010582010581,0.5625,0.5192307692307693,0.8012469659248987,0.7380561679601669,0.7326211333274841,0.721690371632576,0.7053274909655253,0.6921919484933217,0.6898161917924881,0.6801524360974629,0.6799275328715643,0.6651786764462789,0.6644281893968582,0.6603400458892186,0.6509007861216862,0.6488400797049204,0.6399671385685604,0.6339455445607503,0.6330122202634811,0.6283232072989146,0.6278471400340397,0.6253000944852829,0.6121839582920074,0.6120474388202032,0.6083049774169922,0.6079863210519154,0.6021990527709324,0.6005669236183167,0.5940916885932286,0.5899675736824672,0.5909618387619655,0.5864229003588358,0.8534056544303894,0.8410817980766296,0.8269242346286774,0.8133178353309631,0.803057849407196,0.8010055124759674,0.7995804250240326,0.7945278584957123,0.7947567999362946,0.7971450388431549,0.8006184995174408,0.8003494441509247,0.8016698658466339,0.803327888250351,0.8045269250869751,0.8078128397464752,0.8117108047008514,0.8170141577720642,0.8189757466316223,0.8205671310424805,0.8226020336151123,0.8274321556091309,0.8299574255943298,0.8332861959934235,0.8379261493682861,0.8388239741325378,0.8450054228305817,0.850413590669632,0.8508440554141998,0.8516015112400055,0.66,0.65,0.61,0.6000000000000001,0.6000000000000001,0.63,0.62,0.56,0.56,0.5700000000000001,0.58,0.58,0.5700000000000001,0.56,0.5800000000000001,0.6,0.5800000000000001,0.6,0.6,0.59,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.53,0.56,0.59,0.5700000000000001,0.54
8,euclidean,0.75,0.5,30,0.66,0.0,0.7951807228915663,1.0,0.66,0.0,1.0,1.8400946060816445,1.1481213023265202,0.7129808863004048,0.5477276047070821,0.5323442965745926,0.5510010955234369,0.5287991190950077,0.5188960283994675,0.5011382152636846,0.5018213639656702,0.49287006755669915,0.48798682540655136,0.5034611274798712,0.4970097094774246,0.48347348098953563,0.4820471704006195,0.4784364228447278,0.48297975709040963,0.4678767000635464,0.4734325706958771,0.4692653939127922,0.47132017960151035,0.4559127887090047,0.45721199115117384,0.4555972243348757,0.45685591300328565,0.4504799644152323,0.4459422628084818,0.4411578004558881,0.44684005777041114,1.3814412951469421,0.9572016894817352,0.8124882876873016,0.8466896414756775,0.8982607424259186,0.9037260115146638,0.8652758598327637,0.8220461010932922,0.7964457273483276,0.781298816204071,0.7773443758487701,0.779666006565094,0.7848422825336456,0.7844471037387848,0.7799107730388641,0.7718488276004791,0.7638673782348633,0.7640244960784912,0.7580161094665527,0.7593774199485779,0.7582638561725616,0.7566141188144684,0.7553238570690155,0.7540065944194794,0.7548277974128723,0.7568757832050323,0.7533971667289734,0.7497751414775848,0.7527908384799957,0.7599323391914368,0.41000000000000003,0.42000000000000004,0.6100000000000001,0.65,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
9,euclidean,0.25,0.5,40,0.66,0.7950058072009292,0.0,0.6733333333333333,0.5,0.9705882352941175,0.0,0.8111010640859604,0.6365189254283905,0.5943563903371494,0.5984917158881824,0.5700771287083626,0.5648783495028814,0.5460340877374013,0.5470647191007931,0.5487854021290938,0.5277153874437014,0.5306513383984566,0.5286423067251842,0.509047878285249,0.5141373227039974,0.5028473387161891,0.4966216062506039,0.5007857729991276,0.48235109696785605,0.4864304562409719,0.47483904411395383,0.4753851617376009,0.4776721547047297,0.47048560033241904,0.4613249003887176,0.45620549470186234,0.4594237953424454,0.4558797627687454,0.43984465797742206,0.4517723470926285,0.43035593132177985,0.5014515668153763,0.4263375252485275,0.4321969151496887,0.4310882091522217,0.4311847686767578,0.43734458088874817,0.438688188791275,0.43626201152801514,0.43337294459342957,0.43506406247615814,0.43475547432899475,0.4328323155641556,0.43281061947345734,0.43060426414012903,0.4291466027498245,0.4296162873506546,0.4290494918823242,0.43156544864177704,0.429573729634285,0.42962154746055603,0.4285562485456466,0.42730140686035156,0.42730808258056635,0.428181916475296,0.42737922072410583,0.42486847937107086,0.4253358542919159,0.4291950613260269,0.4295007735490799,0.4276717603206634,0.52,0.67,0.68,0.68,0.69,0.69,0.69,0.69,0.68,0.69,0.69,0.68,0.69,0.69,0.68,0.68,0.68,0.69,0.68,0.69,0.69,0.68,0.68,0.68,0.68,0.68,0.68,0.66,0.66,0.66
10,euclidean,0.5,0.5,40,0.56,0.5847578347578347,0.5317028985507246,0.7386363636363636,0.43095238095238086,0.484375,0.6944444444444444,0.8199628343184789,0.7619610528151195,0.7558766851822536,0.7288711071014404,0.7072994560003281,0.6813995838165283,0.6722768495480219,0.6575452834367752,0.6498271773258846,0.6385772228240967,0.6327394445737202,0.6216173768043518,0.6108200003703435,0.6027271747589111,0.5982828338940938,0.592822606364886,0.5806416819492977,0.5749867608149846,0.5714240471522014,0.5645410940051079,0.5666735644141834,0.5564790368080139,0.5575568526983261,0.5423126618067424,0.5373355249563854,0.5348325818777084,0.524645561973254,0.525399424135685,0.5218221346537272,0.5170170192917187,0.9375342130661011,0.8394763469696045,0.7768732309341431,0.8710477352142334,0.8593902587890625,0.8208589553833008,0.8048292696475983,0.8030263483524323,0.813914954662323,0.8108848333358765,0.8001406490802765,0.7902140319347382,0.782591313123703,0.7714366614818573,0.786615788936615,0.7818478643894196,0.7679719924926758,0.7885468304157257,0.7861542403697968,0.763340175151825,0.7649925649166107,0.7815755605697632,0.7880927920341492,0.781442254781723,0.7674537599086761,0.7619505524635315,0.7977547943592072,0.7764603793621063,0.7984755039215088,0.7507375776767731,0.48,0.52,0.49,0.52,0.53,0.53,0.52,0.54,0.53,0.53,0.56,0.55,0.55,0.54,0.54,0.54,0.55,0.56,0.56,0.56,0.5700000000000001,0.55,0.56,0.55,0.54,0.5700000000000001,0.54,0.56,0.54,0.56
11,euclidean,0.75,0.5,40,0.76,0.0714285714285714,0.8620507399577166,0.125,0.7980072463768115,0.05,0.9375,0.6995764970779419,0.6225746721029282,0.6073364640275638,0.5826254983743031,0.5654081602891287,0.5564018040895462,0.5417400573690732,0.5176814521352451,0.5148700798551241,0.5119172036647797,0.49500620613495505,0.4876735558112463,0.4851077670852343,0.4792579462130865,0.468288371960322,0.46500436713298166,0.45788013438383734,0.45692525307337445,0.45573390771945316,0.4547949333985647,0.43976912399133045,0.4351685345172882,0.4351687630017599,0.4321033010880152,0.4236269916097323,0.41625395417213434,0.42118198176225025,0.41803194830814994,0.4173843835790952,0.40233048175772035,0.7578955590724945,0.7843178510665894,0.7767767906188965,0.733490526676178,0.7134342193603516,0.7170497179031372,0.707941472530365,0.7061635851860046,0.6940217912197113,0.6938008368015289,0.6701807081699371,0.6580913364887238,0.6739622950553894,0.6635994613170624,0.6388328075408936,0.6351489126682281,0.6483718156814575,0.6439411640167236,0.6337154507637024,0.6239937543869019,0.6183676719665527,0.618842750787735,0.6181366741657257,0.619032621383667,0.6070725619792938,0.5991659462451935,0.6141341328620911,0.5902057588100433,0.6035494804382324,0.5959001779556274,0.69,0.73,0.75,0.7,0.6799999999999999,0.71,0.7,0.71,0.73,0.73,0.72,0.71,0.75,0.76,0.72,0.72,0.74,0.76,0.76,0.74,0.74,0.75,0.76,0.77,0.76,0.76,0.76,0.75,0.78,0.76
12,euclidean,0.25,0.5,50,0.75,0.8519607843137256,0.19583333333333336,0.7577570921985816,0.6666666666666666,0.972972972972973,0.11538461538461535,0.6496127992868423,0.6084414720535278,0.5914124101400375,0.5779578412572544,0.553422895570596,0.5537785738706589,0.5394686708847682,0.5309702306985855,0.5278257454435031,0.5205091908574104,0.5173367137710253,0.5045357445875803,0.50222959369421,0.4985846926768621,0.49120582640171045,0.484513372182846,0.4737883458534876,0.48013049115737283,0.46448495487372077,0.46267863859732944,0.45518713941176725,0.4568654869993527,0.44579170644283295,0.4432925259073575,0.4382905239860217,0.4334984595576922,0.4310608431696892,0.4263089944918951,0.417273961007595,0.41801718125740683,0.8640434741973877,0.8769499659538269,0.8468147814273834,0.829206794500351,0.8012209236621857,0.8059934079647064,0.7938841283321381,0.7833551466464996,0.7845875322818756,0.7781104147434235,0.7846234738826752,0.7748558223247528,0.7844575643539429,0.7873184680938721,0.7824931442737579,0.7791949510574341,0.7857302725315094,0.7879745960235596,0.7750155627727509,0.7883866131305695,0.7965403497219086,0.8012903034687042,0.7817722856998444,0.7752886712551117,0.7829567790031433,0.8150202631950378,0.8097264468669891,0.7863306403160095,0.7804967164993286,0.8099987804889679,0.74,0.72,0.72,0.73,0.72,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.77,0.77,0.76,0.74,0.76,0.76,0.75,0.75,0.77,0.77,0.75,0.75,0.75,0.77,0.76,0.75,0.76,0.75
13,euclidean,0.5,0.5,50,0.61,0.40512333965844405,0.7094861660079052,0.40555555555555556,0.7138392857142857,0.40625,0.7058823529411764,0.7618716011444727,0.7287472834189732,0.7136103361845016,0.6997797588507335,0.6998746345440546,0.6834137787421544,0.6784322410821915,0.6741773088773091,0.6693341980377833,0.6625476727883021,0.6584362586339314,0.6551780700683594,0.6521919469038646,0.6518087883790333,0.6444202711184819,0.6423373222351074,0.6372684786717098,0.6384882926940918,0.6333442131678264,0.6270145674546559,0.624056801199913,0.620498389005661,0.6209885030984879,0.6155309677124023,0.6084533681472142,0.6068805555502573,0.6053319126367569,0.6010172565778096,0.5933041572570801,0.5887906501690546,0.7833936512470245,0.7869466841220856,0.7683127224445343,0.7578780353069305,0.7554669380187988,0.751986026763916,0.7484692931175232,0.7477405965328217,0.748013824224472,0.7470706105232239,0.7467762231826782,0.7492648065090179,0.7533712089061737,0.7545407116413116,0.7537819743156433,0.7512013912200928,0.7535251080989838,0.7578703761100769,0.7551041543483734,0.7531505525112152,0.7576572597026825,0.7622509598731995,0.7566392719745636,0.7615288496017456,0.7581561207771301,0.7545926570892334,0.7546383142471313,0.7540254592895508,0.7611546516418457,0.7553189396858215,0.5900000000000001,0.63,0.6200000000000001,0.52,0.53,0.5800000000000001,0.55,0.54,0.55,0.53,0.5700000000000001,0.5800000000000001,0.6100000000000001,0.5900000000000001,0.5700000000000001,0.55,0.55,0.5800000000000001,0.55,0.52,0.5700000000000001,0.5900000000000001,0.56,0.5800000000000001,0.5900000000000001,0.56,0.6000000000000001,0.5800000000000001,0.61,0.61
